INFO:root:6006000
INFO:root:6006000
INFO:root:No: 1	GFLOPS: 1.33/1.33	result: MeasureResult(costs=(0.153770785, 0.153987047, 0.154272392), error_no=0, all_cost=2.931459903717041, timestamp=1529035040.830899)	[('tile_y', [128, 98, 2, 1]), ('tile_x', [64, 32, 2, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,x768601cb,1040642
INFO:root:No: 2	GFLOPS: 1.74/1.74	result: MeasureResult(costs=(0.117890661, 0.118184031, 0.11823439), error_no=0, all_cost=1.3091578483581543, timestamp=1529035042.148681)	[('tile_y', [16, 49, 32, 1]), ('tile_x', [1, 1, 32, 128]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,x768601cb,4925982
INFO:root:No: 3	GFLOPS: 0.00/1.74	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.00860905647277832, timestamp=1529035042.166044)	[('tile_y', [28, 1, 112, 8]), ('tile_x', [4, 2, 512, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],,x768601cb,2183522
INFO:root:No: 4	GFLOPS: 2.39/2.39	result: MeasureResult(costs=(0.086103108, 0.086147846, 0.086176871), error_no=0, all_cost=1.2370917797088623, timestamp=1529035043.403427)	[('tile_y', [7, 448, 4, 2]), ('tile_x', [512, 1, 2, 4]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],,x768601cb,3399398
INFO:root:No: 5	GFLOPS: 18.04/18.04	result: MeasureResult(costs=(0.011313483, 0.011434686, 0.011436082), error_no=0, all_cost=2.6565778255462646, timestamp=1529035046.0686)	[('tile_y', [32, 28, 2, 14]), ('tile_x', [2, 16, 128, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],,x768601cb,5168974
INFO:root:No: 6	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008267879486083984, timestamp=1529035046.085506)	[('tile_y', [2, 6272, 1, 2]), ('tile_x', [64, 4, 16, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,x768601cb,4109955
INFO:root:No: 7	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.028274059295654297, timestamp=1529035046.114075)	[('tile_y', [2, 8, 16, 98]), ('tile_x', [1, 64, 4, 16]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 1)],,x768601cb,4694440
INFO:root:No: 8	GFLOPS: 4.43/18.04	result: MeasureResult(costs=(0.046338668, 0.046421942, 0.046455198), error_no=0, all_cost=9.732584953308105, timestamp=1529035055.848207)	[('tile_y', [196, 64, 1, 2]), ('tile_x', [32, 8, 8, 2]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],,x768601cb,5284741
INFO:root:No: 9	GFLOPS: 4.15/18.04	result: MeasureResult(costs=(0.049468868, 0.049469025, 0.04961411), error_no=0, all_cost=1.0501279830932617, timestamp=1529035056.907011)	[('tile_y', [392, 2, 4, 8]), ('tile_x', [2, 2, 1, 1024]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],,x768601cb,3985221
INFO:root:No: 10	GFLOPS: 3.13/18.04	result: MeasureResult(costs=(0.065290395, 0.065443405, 0.06610549), error_no=0, all_cost=1.1980750560760498, timestamp=1529035058.11399)	[('tile_y', [16, 14, 7, 16]), ('tile_x', [8, 8, 4, 16]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],,x768601cb,3686334
INFO:root:No: 11	GFLOPS: 10.83/18.04	result: MeasureResult(costs=(0.018940836, 0.018969697, 0.019036792), error_no=0, all_cost=0.664607048034668, timestamp=1529035058.787257)	[('tile_y', [28, 8, 2, 56]), ('tile_x', [16, 1, 64, 4]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,485681
INFO:root:No: 12	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:57:40] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:57:40] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=1.6648330688476562, timestamp=1529035060.46067)	[('tile_y', [7, 1, 8, 448]), ('tile_x', [4, 4, 4, 64]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],,x768601cb,5856300
